时间,内容,类型,社团/表演者,补充说明,时长
09:20:00-09:30:00,暖场视频（技术部制作）,视频,—,,10分钟0秒
09:30:00-09:35:00,Wota艺：黎明ニ咲ケ,WOTA艺,七域,,5分钟0秒
09:35:00-09:36:00,转场：宅舞 → 宅舞,转场,—,,1分钟0秒
09:36:00-09:40:00,团舞,宅舞,七域,,4分钟0秒
09:40:00-09:42:00,转场：宅舞 → 钢琴合奏,转场,—,,2分钟0秒
09:42:00-09:47:00,四月是你的谎言（钢琴合奏）,钢琴合奏,七域,,5分钟0秒
09:47:00-09:49:00,转场：钢琴合奏 → 宅舞,转场,—,,2分钟0秒
09:49:00-09:53:00,这么可爱真是抱歉,宅舞,七域,,4分钟0秒
09:53:00-09:55:00,转场：宅舞 → 器乐,转场,—,,2分钟0秒
09:55:00-10:00:00,恶魔之子（钢琴/提琴合奏）,器乐,七域,,5分钟0秒
10:00:00-10:02:00,转场：器乐 → 宅舞,转场,—,,2分钟0秒
10:02:00-10:06:00,夏色,宅舞,七域,,4分钟0秒
10:06:00-10:07:00,转场：宅舞 → 宅舞,转场,—,,1分钟0秒
10:07:00-10:11:00,缪斯,宅舞,七域,,4分钟0秒
10:11:00-10:12:00,转场：宅舞 → 翻唱,转场,—,,1分钟0秒
10:12:00-10:19:00,歌曲二连唱《magnet》+《色彩艳丽，终或散落》,翻唱,个人,,7分钟0秒
10:19:00-10:20:00,转场：翻唱 → 宅舞,转场,—,,1分钟0秒
10:20:00-10:24:00,宝钟马琳,宅舞,七域,,4分钟0秒
10:24:00-10:27:00,转场：宅舞 → 舞台剧,转场,—,搭景准备,3分钟0秒
10:27:00-10:35:00,弹丸论破（舞台剧）,舞台剧,东财海飓,,8分钟0秒
10:35:00-10:37:00,转场：舞台剧 → 配音,转场,—,,2分钟0秒
10:37:00-10:52:00,配音展示1（败犬女主，海灯节，饿殍）,配音,七域,,15分钟0秒
10:52:00-10:53:00,转场：配音1 → 配音2,转场,—,,1分钟0秒
10:53:00-11:08:00,配音展示2（Mygo，非人哉，风灵玉秀，赛博朋克）,配音,七域,,15分钟0秒
11:08:00-11:11:00,转场：配音2 → 舞台剧,转场,—,,3分钟0秒
11:11:00-11:19:00,绝区零-zzz（舞台剧）,舞台剧,七域,,8分钟0秒
11:19:00-11:30:00,缓冲区,—,—,,11分钟0秒
11:30:00-14:00:00,中午,—,—,中午,150分钟0秒
14:00:00-14:05:30,夏望星KABOUSEI乐队 - Fire Bird,乐队演出,夏望星KABOUSEI乐队（七域）,,5分钟30秒
14:05:30-14:10:10,夏望星KABOUSEI乐队 - 花之塔,乐队演出,夏望星KABOUSEI乐队（七域）,,4分钟40秒
14:10:10-14:15:40,夏望星KABOUSEI乐队 - フユノ（冬野）,乐队演出,夏望星KABOUSEI乐队（七域）,,5分钟30秒
14:15:40-14:20:40,夏望星KABOUSEI乐队 - Hydra,乐队演出,夏望星KABOUSEI乐队（七域）,,5分钟0秒
14:20:40-14:26:40,夏望星KABOUSEI乐队 - Daylight,乐队演出,夏望星KABOUSEI乐队（七域）,,6分钟0秒
14:26:40-14:28:40,转场：乐队→乐队调试,转场,—,,2分钟0秒
14:28:40-14:37:00,缓冲区,—,—,,8分钟20秒
14:37:00-14:41:00,ch4nge,宅舞,七域,,4分钟0秒
14:41:00-14:43:00,转场：宅舞→Silence乐队,转场,—,,2分钟0秒
14:43:00-14:46:00,Silence乐队 - 声なき魚（无声之鱼）,乐队演出,Silence乐队（七域）,,3分钟0秒
14:46:00-14:49:05,Silence乐队 - 雑踏、僕らの街（熙熙攘攘，我们的街道）,乐队演出,Silence乐队（七域）,,3分钟5秒
14:49:05-14:53:15,Silence乐队 - 梦回还,乐队演出,Silence乐队（七域）,,4分钟10秒
14:53:15-14:58:15,Silence乐队 - 藍悼花,乐队演出,Silence乐队（七域）,,5分钟0秒
14:58:15-15:16:58,缓冲区（动漫高手？）,—,—,,18分钟43秒
15:16:58-15:20:56,转场：乐队→波子汽水乐队,转场,—,,3分钟58秒
15:20:56-15:23:26,波子汽水乐队 - Life Will Change,乐队演出,波子汽水乐队（七域）,,2分钟30秒
15:23:26-15:27:56,波子汽水乐队 - 極夜,乐队演出,波子汽水乐队（七域）,,4分钟30秒
15:27:56-15:31:26,波子汽水乐队 - 迷星叫（Mayoiuta）,乐队演出,波子汽水乐队（七域）,,3分钟30秒
15:31:26-15:35:56,波子汽水乐队 - ベルベットの詩（天鹅绒之诗）,乐队演出,波子汽水乐队（七域）,,4分钟30秒
15:35:56-15:40:26,波子汽水乐队 - 狂乱 Hey Kids!!,乐队演出,波子汽水乐队（七域）,,4分钟30秒
15:40:26-15:45:26,转场：乐队→蓝色同位素BURUASO乐队,转场,—,,5分钟0秒
15:45:26-15:49:41,蓝色同位素BURUASO乐队 - 猛独が襲う（猛独侵袭）,乐队演出,蓝色同位素BURUASO乐队（七域）,,4分钟15秒
15:49:41-15:53:26,蓝色同位素BURUASO乐队 - 無路矢（Noroshi）,乐队演出,蓝色同位素BURUASO乐队（七域）,,3分钟45秒
15:53:26-15:56:41,蓝色同位素BURUASO乐队 - 海と花束,乐队演出,蓝色同位素BURUASO乐队（七域）,,3分钟15秒
15:56:41-15:58:41,转场：乐队→合作曲准备,转场,—,,2分钟0秒
15:58:41-16:03:06,蓝色同位素BURUASO乐队+深蓝部分乐队 - Love2000,乐队合作演出,蓝色同位素BURUASO乐队+深蓝部分乐队,,4分钟25秒
16:03:06-16:05:06,转场：合作→深蓝部分乐队,转场,—,,2分钟0秒
16:05:06-16:08:56,深蓝部分乐队 - 希望有羽毛和翅膀,乐队演出,深蓝部分乐队（深蓝）,,3分钟50秒
16:08:56-16:14:02,深蓝部分乐队 - 新宝岛,乐队演出,深蓝部分乐队（深蓝）,,5分钟6秒
16:14:02-16:18:18,深蓝部分乐队 - 光るなら（若能成为光）,乐队演出,深蓝部分乐队（深蓝）,,4分钟16秒
16:18:18-16:20:18,转场：乐队→夜之海乐队,转场,—,,2分钟0秒
16:20:18-16:25:08,夜之海乐队 - Ref：rain,乐队演出,夜之海乐队（七域）,,4分钟50秒
16:25:08-16:29:03,夜之海乐队 - リライト（rewrite）,乐队演出,夜之海乐队（七域）,,3分钟55秒
16:29:03-16:33:18,夜之海乐队 - ワールドイズマイン（世界第一的公主殿下）,乐队演出,夜之海乐队（七域）,,4分钟15秒
16:33:18-16:35:18,转场：夜之海乐队→云之彼方乐队,转场,—,,2分钟0秒
16:35:18-16:38:43,云之彼方乐队 - 深海少女,乐队演出,云之彼方乐队（云之彼方）,,3分钟25秒
16:38:43-16:43:08,云之彼方乐队 - スーパースターになったら（若能成为超级巨星）,乐队演出,云之彼方乐队（云之彼方）,,4分钟25秒
16:43:08-16:45:00,演出结束缓冲时间,—,,,1分钟52秒
